index    name    stat  avail  ifit     ref        des          abs       act         fit       weight
  1    BPMx001     1     1     1     -0.000     -0.000        0.000     -0.000      0.000      1.000
  2    BPMx002     2     2     2     -0.000     -0.000        0.000     -0.000      0.000      1.000
  3    BPMx003     3     3     3      0.000      0.000        0.000     -0.000      0.000      1.000
  4    BPMx004     4     4     4     -0.000     -0.000        0.000     -0.000      0.000      1.000
  5    BPMx005     5     5     5     -0.000     -0.000        0.000     -0.000      0.000      1.000
  6    BPMx006     6     6     6      0.000      0.000        0.000     -0.000      0.000      1.000
  7    BPMx007     7     7     7      0.000      0.000        0.000     -0.000      0.000      1.000
  8    BPMx008     8     8     8      0.000      0.000        0.000     -0.000      0.000      1.000
  9    BPMx009     9     9     9     -0.000     -0.000        0.000     -0.000      0.000      1.000
 10    BPMx010    10    10    10      0.000      0.000        0.000     -0.000      0.000      1.000
 11    BPMx011    11    11    11     -0.000     -0.000        0.000     -0.000      0.000      1.000
 12    BPMx012    12    12    12      0.000      0.000        0.000     -0.000      0.000      1.000
 13    BPMx013    13    13    13      0.000      0.000        0.000     -0.000      0.000      1.000
 14    BPMx014    14    14    14      0.000      0.000        0.000     -0.000      0.000      1.000
 15    BPMx015    15    15    15      0.000      0.000        0.000     -0.000      0.000      1.000
 16    BPMx016    16    16    16     -0.000     -0.000        0.000     -0.000      0.000      1.000
 17    BPMx017    17    17    17      0.000      0.000        0.000     -0.000      0.000      1.000
 18    BPMx018    18    18    18     -0.000     -0.000        0.000     -0.000      0.000      1.000
 19    BPMx019    19    19    19      0.000      0.000        0.000     -0.000      0.000      1.000
 20    BPMx020    20    20    20      0.000      0.000        0.000     -0.000      0.000      1.000
 21    BPMx021    21    21    21      0.000      0.000        0.000     -0.000      0.000      1.000
 22    BPMx022    22    22    22      0.000      0.000        0.000     -0.000      0.000      1.000
 23    BPMx023    23    23    23      0.000      0.000        0.000     -0.000      0.000      1.000
 24    BPMx024    24    24    24      0.000      0.000        0.000     -0.000      0.000      1.000
 25    BPMx025    25    25    25     -0.000     -0.000        0.000     -0.000      0.000      1.000
 26    BPMx026    26    26    26      0.000      0.000        0.000     -0.000      0.000      1.000
 27    BPMx027    27    27    27      0.000      0.000        0.000     -0.000      0.000      1.000
 28    BPMx028    28    28    28     -0.000     -0.000        0.000     -0.000      0.000      1.000
 29    BPMx029    29    29    29     -0.000     -0.000        0.000     -0.000      0.000      1.000
 30    BPMx030    30    30    30     -0.000     -0.000        0.000     -0.000      0.000      1.000
 31    BPMx031    31    31    31     -0.000     -0.000        0.000     -0.000      0.000      1.000
 32    BPMx032    32    32    32      0.000      0.000        0.000     -0.000      0.000      1.000
 33    BPMx033    33    33    33      0.000      0.000        0.000     -0.000      0.000      1.000
 34    BPMx034    34    34    34     -0.000     -0.000        0.000     -0.000      0.000      1.000
 35    BPMx035    35    35    35      0.000      0.000        0.000     -0.000      0.000      1.000
 36    BPMx036    36    36    36     -0.000     -0.000        0.000     -0.000      0.000      1.000
 37    BPMx037    37    37    37     -0.000     -0.000        0.000     -0.000      0.000      1.000
 38    BPMx038    38    38    38      0.000      0.000        0.000     -0.000      0.000      1.000
 39    BPMx039    39    39    39      0.000      0.000        0.000     -0.000      0.000      1.000
 40    BPMx040    40    40    40     -0.000     -0.000        0.000     -0.000      0.000      1.000
 41    BPMx041    41    41    41      0.000      0.000        0.000     -0.000      0.000      1.000
 42    BPMx042    42    42    42     -0.000     -0.000        0.000     -0.000      0.000      1.000
 43    BPMx043    43    43    43     -0.000     -0.000        0.000     -0.000      0.000      1.000
 44    BPMx044    44    44    44      0.000      0.000        0.000     -0.000      0.000      1.000
 45    BPMx045    45    45    45     -0.000     -0.000        0.000     -0.000      0.000      1.000
 46    BPMx046    46    46    46     -0.000     -0.000        0.000     -0.000      0.000      1.000
 47    BPMx047    47    47    47     -0.000     -0.000        0.000     -0.000      0.000      1.000
 48    BPMx048    48    48    48      0.000      0.000        0.000     -0.000      0.000      1.000
 49    BPMx049    49    49    49     -0.000     -0.000        0.000     -0.000      0.000      1.000
 50    BPMx050    50    50    50      0.000      0.000        0.000     -0.000      0.000      1.000
 51    BPMx051    51    51    51      0.000      0.000        0.000     -0.000      0.000      1.000
 52    BPMx052    52    52    52      0.000      0.000        0.000     -0.000      0.000      1.000
 53    BPMx053    53    53    53     -0.000     -0.000        0.000     -0.000      0.000      1.000
 54    BPMx054    54    54    54     -0.000     -0.000        0.000     -0.000      0.000      1.000
 55    BPMx055    55    55    55      0.000      0.000        0.000     -0.000      0.000      1.000
 56    BPMx056    56    56    56      0.000      0.000        0.000     -0.000      0.000      1.000
 57    BPMx057    57    57    57      0.000      0.000        0.000     -0.000      0.000      1.000
 58    BPMx058    58    58    58      0.000      0.000        0.000     -0.000      0.000      1.000
 59    BPMx059    59    59    59     -0.000     -0.000        0.000     -0.000      0.000      1.000
 60    BPMx060    60    60    60     -0.000     -0.000        0.000     -0.000      0.000      1.000
 61    BPMx061    61    61    61     -0.000     -0.000        0.000     -0.000      0.000      1.000
 62    BPMx062    62    62    62      0.000      0.000        0.000     -0.000      0.000      1.000
 63    BPMx063    63    63    63     -0.000     -0.000        0.000     -0.000      0.000      1.000
 64    BPMx064    64    64    64      0.000      0.000        0.000     -0.000      0.000      1.000
 65    BPMx065    65    65    65      0.000      0.000        0.000     -0.000      0.000      1.000
 66    BPMx066    66    66    66     -0.000     -0.000        0.000     -0.000      0.000      1.000
 67    BPMx067    67    67    67      0.000      0.000        0.000     -0.000      0.000      1.000
 68    BPMx068    68    68    68      0.000      0.000        0.000     -0.000      0.000      1.000
 69    BPMx069    69    69    69     -0.000     -0.000        0.000     -0.000      0.000      1.000
 70    BPMx070    70    70    70     -0.000     -0.000        0.000     -0.000      0.000      1.000
 71    BPMx071    71    71    71     -0.000     -0.000        0.000     -0.000      0.000      1.000
 72    BPMx072    72    72    72     -0.000     -0.000        0.000     -0.000      0.000      1.000
 73    BPMx073    73    73    73      0.000      0.000        0.000     -0.000      0.000      1.000
 74    BPMx074    74    74    74      0.000      0.000        0.000     -0.000      0.000      1.000
 75    BPMx075    75    75    75      0.000      0.000        0.000     -0.000      0.000      1.000
 76    BPMx076    76    76    76      0.000      0.000        0.000     -0.000      0.000      1.000
 77    BPMx077    77    77    77      0.000      0.000        0.000     -0.000      0.000      1.000
 78    BPMx078    78    78    78     -0.000     -0.000        0.000     -0.000      0.000      1.000
 79    BPMx079    79    79    79     -0.000     -0.000        0.000     -0.000      0.000      1.000
 80    BPMx080    80    80    80      0.000      0.000        0.000     -0.000      0.000      1.000
 81    BPMx081    81    81    81     -0.000     -0.000        0.000     -0.000      0.000      1.000
 82    BPMx082    82    82    82      0.000      0.000        0.000     -0.000      0.000      1.000
 83    BPMx083    83    83    83     -0.000     -0.000        0.000     -0.000      0.000      1.000
 84    BPMx084    84    84    84     -0.000     -0.000        0.000     -0.000      0.000      1.000
 85    BPMx085    85    85    85      0.000      0.000        0.000     -0.000      0.000      1.000
 86    BPMx086    86    86    86      0.000      0.000        0.000     -0.000      0.000      1.000
 87    BPMx087    87    87    87     -0.000     -0.000        0.000     -0.000      0.000      1.000
 88    BPMx088    88    88    88      0.000      0.000        0.000     -0.000      0.000      1.000
 89    BPMx089    89    89    89      0.000      0.000        0.000     -0.000      0.000      1.000
 90    BPMx090    90    90    90     -0.000     -0.000        0.000     -0.000      0.000      1.000
 91    BPMx091    91    91    91      0.000      0.000        0.000     -0.000      0.000      1.000
 92    BPMx092    92    92    92     -0.000     -0.000        0.000     -0.000      0.000      1.000
 93    BPMx093    93    93    93      0.000      0.000        0.000     -0.000      0.000      1.000
 94    BPMx094    94    94    94     -0.000     -0.000        0.000     -0.000      0.000      1.000
 95    BPMx095    95    95    95      0.000      0.000        0.000     -0.000      0.000      1.000
 96    BPMx096    96    96    96      0.000      0.000        0.000     -0.000      0.000      1.000
 97    BPMx097    97    97    97     -0.000     -0.000        0.000     -0.000      0.000      1.000
 98    BPMx098    98    98    98      0.000      0.000        0.000     -0.000      0.000      1.000
 99    BPMx099    99    99    99     -0.000     -0.000        0.000     -0.000      0.000      1.000
100    BPMx100   100   100   100      0.000      0.000        0.000     -0.000      0.000      1.000
101    BPMx101   101   101   101     -0.000     -0.000        0.000     -0.000      0.000      1.000
102    BPMx102   102   102   102     -0.000     -0.000        0.000     -0.000      0.000      1.000
103    BPMx103   103   103   103     -0.000     -0.000        0.000     -0.000      0.000      1.000
104    BPMx104   104   104   104      0.000      0.000        0.000     -0.000      0.000      1.000
105    BPMx105   105   105   105     -0.000     -0.000        0.000     -0.000      0.000      1.000
106    BPMx106   106   106   106      0.000      0.000        0.000     -0.000      0.000      1.000
107    BPMx107   107   107   107     -0.000     -0.000        0.000     -0.000      0.000      1.000
108    BPMx108   108   108   108     -0.000     -0.000        0.000     -0.000      0.000      1.000
109    BPMx109   109   109   109     -0.000     -0.000        0.000     -0.000      0.000      1.000
110    BPMx110   110   110   110      0.000      0.000        0.000     -0.000      0.000      1.000
111    BPMx111   111   111   111      0.000      0.000        0.000     -0.000      0.000      1.000
112    BPMx112   112   112   112     -0.000     -0.000        0.000     -0.000      0.000      1.000
113    BPMx113   113   113   113     -0.000     -0.000        0.000     -0.000      0.000      1.000
114    BPMx114   114   114   114      0.000      0.000        0.000     -0.000      0.000      1.000
115    BPMx115   115   115   115     -0.000     -0.000        0.000     -0.000      0.000      1.000
116    BPMx116   116   116   116      0.000      0.000        0.000     -0.000      0.000      1.000
117    BPMx117   117   117   117     -0.000     -0.000        0.000     -0.000      0.000      1.000
118    BPMx118   118   118   118     -0.000     -0.000        0.000     -0.000      0.000      1.000
119    BPMx119   119   119   119      0.000      0.000        0.000     -0.000      0.000      1.000
120    BPMx120   120   120   120     -0.000     -0.000        0.000     -0.000      0.000      1.000
