 ElementName  ElementType        L              s              K1             K2           Angle     
                                 m              m             1/m2           1/m3                    
-----------------------------------------------------------------------------------------------------
       _BEG_         MARK  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000 
      LIN_P1         DRIF  9.804400e-002  9.804400e-002  0.000000e+000  0.000000e+000  0.000000e+000 
     P1_HALF         DRIF  8.000000e-002  1.780440e-001  0.000000e+000  0.000000e+000  0.000000e+000 
          P1         MONI  0.000000e+000  1.780440e-001  0.000000e+000  0.000000e+000  0.000000e+000 
     P1_HALF         DRIF  8.000000e-002  2.580440e-001  0.000000e+000  0.000000e+000  0.000000e+000 
      P1_VF1         DRIF  1.047950e-001  3.628390e-001  0.000000e+000  0.000000e+000  0.000000e+000 
         VF1        WATCH  0.000000e+000  3.628390e-001  0.000000e+000  0.000000e+000  0.000000e+000 
      VF1_C1         DRIF  1.292530e-001  4.920920e-001  0.000000e+000  0.000000e+000  0.000000e+000 
          C1       KICKER  1.500000e-001  6.420920e-001  0.000000e+000  0.000000e+000  0.000000e+000 
       C1_Q1         DRIF  4.727000e-002  6.893620e-001  0.000000e+000  0.000000e+000  0.000000e+000 
          Q1         QUAD  1.500000e-001  8.393620e-001  -1.238103e+001  0.000000e+000  0.000000e+000 
      Q1_IT1         DRIF  1.001570e-001  9.395190e-001  0.000000e+000  0.000000e+000  0.000000e+000 
         IT1         MARK  0.000000e+000  9.395190e-001  0.000000e+000  0.000000e+000  0.000000e+000 
      IT1_Q2         DRIF  9.996000e-002  1.039479e+000  0.000000e+000  0.000000e+000  0.000000e+000 
          Q2         QUAD  1.500000e-001  1.189479e+000  1.305625e+001  0.000000e+000  0.000000e+000 
       Q2_Q3         DRIF  1.998420e-001  1.389321e+000  0.000000e+000  0.000000e+000  0.000000e+000 
          Q3         QUAD  1.500000e-001  1.539321e+000  -4.291155e+000  0.000000e+000  0.000000e+000 
       Q3_C2         DRIF  4.110200e-002  1.580423e+000  0.000000e+000  0.000000e+000  0.000000e+000 
          C2       KICKER  1.500000e-001  1.730423e+000  0.000000e+000  0.000000e+000  0.000000e+000 
       C2_B1         DRIF  2.861540e-001  2.016577e+000  0.000000e+000  0.000000e+000  0.000000e+000 
          M1         MARK  0.000000e+000  2.016577e+000  0.000000e+000  0.000000e+000  0.000000e+000 
          B1       CSBEND  3.500000e-001  2.366577e+000  0.000000e+000  0.000000e+000  2.250000e-001 
       B1_Q4         DRIF  7.298420e-001  3.096419e+000  0.000000e+000  0.000000e+000  0.000000e+000 
          Q4         QUAD  1.500000e-001  3.246419e+000  -6.921706e+000  0.000000e+000  0.000000e+000 
       Q4_C3         DRIF  1.326519e+000  4.572938e+000  0.000000e+000  0.000000e+000  0.000000e+000 
          C3       KICKER  2.000000e-001  4.772938e+000  0.000000e+000  0.000000e+000  0.000000e+000 
       C3_Q5         DRIF  2.931810e-001  5.066119e+000  0.000000e+000  0.000000e+000  0.000000e+000 
          Q5         QUAD  2.500000e-001  5.316119e+000  3.337595e+000  0.000000e+000  0.000000e+000 
      Q5_SL1         DRIF  2.596900e-001  5.575809e+000  0.000000e+000  0.000000e+000  0.000000e+000 
         SL1         RCOL  0.000000e+000  5.575809e+000  0.000000e+000  0.000000e+000  0.000000e+000 
      SL1_P2         DRIF  1.097400e-001  5.685549e+000  0.000000e+000  0.000000e+000  0.000000e+000 
     P2_HALF         DRIF  8.000000e-002  5.765549e+000  0.000000e+000  0.000000e+000  0.000000e+000 
          P2         MONI  0.000000e+000  5.765549e+000  0.000000e+000  0.000000e+000  0.000000e+000 
     P2_HALF         DRIF  8.000000e-002  5.845549e+000  0.000000e+000  0.000000e+000  0.000000e+000 
      P2_VF2         DRIF  1.349390e-001  5.980488e+000  0.000000e+000  0.000000e+000  0.000000e+000 
         VF2        WATCH  0.000000e+000  5.980488e+000  0.000000e+000  0.000000e+000  0.000000e+000 
     VF2_FT1         DRIF  2.537560e-001  6.234244e+000  0.000000e+000  0.000000e+000  0.000000e+000 
         FT1         MARK  0.000000e+000  6.234244e+000  0.000000e+000  0.000000e+000  0.000000e+000 
      FT1_Q6         DRIF  8.017140e-001  7.035958e+000  0.000000e+000  0.000000e+000  0.000000e+000 
          Q6         QUAD  2.500000e-001  7.285958e+000  -4.002643e+000  0.000000e+000  0.000000e+000 
       Q6_C4         DRIF  2.872790e-001  7.573237e+000  0.000000e+000  0.000000e+000  0.000000e+000 
          C4       KICKER  2.000000e-001  7.773237e+000  0.000000e+000  0.000000e+000  0.000000e+000 
       C4_B2         DRIF  2.427210e-001  8.015958e+000  0.000000e+000  0.000000e+000  0.000000e+000 
          B2       CSBEND  3.500000e-001  8.365958e+000  0.000000e+000  0.000000e+000  2.250000e-001 
          M2         MARK  0.000000e+000  8.365958e+000  0.000000e+000  0.000000e+000  0.000000e+000 
       B2_Q7         DRIF  8.522680e-001  9.218226e+000  0.000000e+000  0.000000e+000  0.000000e+000 
          Q7         QUAD  1.500000e-001  9.368226e+000  6.163088e+000  0.000000e+000  0.000000e+000 
       Q7_Q8         DRIF  4.293520e-001  9.797578e+000  0.000000e+000  0.000000e+000  0.000000e+000 
          Q8         QUAD  1.500000e-001  9.947578e+000  0.000000e+000  0.000000e+000  0.000000e+000 
      Q8_SS1         DRIF  6.385500e-002  1.001143e+001  0.000000e+000  0.000000e+000  0.000000e+000 
         SS1         DRIF  7.135400e-001  1.072497e+001  0.000000e+000  0.000000e+000  0.000000e+000 
      SS1_Q9         DRIF  6.336600e-002  1.078834e+001  0.000000e+000  0.000000e+000  0.000000e+000 
          Q9         QUAD  1.500000e-001  1.093834e+001  -4.921477e+000  0.000000e+000  0.000000e+000 
       Q9_C5         DRIF  3.831000e-002  1.097665e+001  0.000000e+000  0.000000e+000  0.000000e+000 
          C5       KICKER  1.500000e-001  1.112665e+001  0.000000e+000  0.000000e+000  0.000000e+000 
       C5_P3         DRIF  5.818800e-002  1.118484e+001  0.000000e+000  0.000000e+000  0.000000e+000 
     P3_HALF         DRIF  8.000000e-002  1.126484e+001  0.000000e+000  0.000000e+000  0.000000e+000 
          P3         MONI  0.000000e+000  1.126484e+001  0.000000e+000  0.000000e+000  0.000000e+000 
     P3_HALF         DRIF  8.000000e-002  1.134484e+001  0.000000e+000  0.000000e+000  0.000000e+000 
     P3_WALL         DRIF  1.633330e-001  1.150817e+001  0.000000e+000  0.000000e+000  0.000000e+000 
        WALL         DRIF  9.917240e-001  1.249989e+001  0.000000e+000  0.000000e+000  0.000000e+000 
    WALL_VF3         DRIF  4.034020e-001  1.290330e+001  0.000000e+000  0.000000e+000  0.000000e+000 
         VF3        WATCH  0.000000e+000  1.290330e+001  0.000000e+000  0.000000e+000  0.000000e+000 
      VF3_B3         DRIF  3.470130e-001  1.325031e+001  0.000000e+000  0.000000e+000  0.000000e+000 
          M3         MARK  0.000000e+000  1.325031e+001  0.000000e+000  0.000000e+000  0.000000e+000 
          B3       CSBEND  3.500000e-001  1.360031e+001  0.000000e+000  0.000000e+000  -1.625000e-001 
       B3_P4         DRIF  1.442005e-001  1.374451e+001  0.000000e+000  0.000000e+000  0.000000e+000 
     P4_HALF         DRIF  8.000000e-002  1.382451e+001  0.000000e+000  0.000000e+000  0.000000e+000 
          P4         MONI  0.000000e+000  1.382451e+001  0.000000e+000  0.000000e+000  0.000000e+000 
     P4_HALF         DRIF  8.000000e-002  1.390451e+001  0.000000e+000  0.000000e+000  0.000000e+000 
      P4_VF4         DRIF  1.046480e-001  1.400916e+001  0.000000e+000  0.000000e+000  0.000000e+000 
         VF4        WATCH  0.000000e+000  1.400916e+001  0.000000e+000  0.000000e+000  0.000000e+000 
     VF4_Q10         DRIF  4.120840e-001  1.442124e+001  0.000000e+000  0.000000e+000  0.000000e+000 
         Q10         QUAD  1.500000e-001  1.457124e+001  7.260753e+000  0.000000e+000  0.000000e+000 
      Q10_B4         DRIF  8.212800e-001  1.539252e+001  0.000000e+000  0.000000e+000  0.000000e+000 
          B4       CSBEND  3.500000e-001  1.574252e+001  0.000000e+000  0.000000e+000  -1.625000e-001 
       B4_P5         DRIF  1.442590e-001  1.588678e+001  0.000000e+000  0.000000e+000  0.000000e+000 
     P5_HALF         DRIF  8.000000e-002  1.596678e+001  0.000000e+000  0.000000e+000  0.000000e+000 
          P5         MONI  0.000000e+000  1.596678e+001  0.000000e+000  0.000000e+000  0.000000e+000 
     P5_HALF         DRIF  8.000000e-002  1.604678e+001  0.000000e+000  0.000000e+000  0.000000e+000 
       P5_C6         DRIF  1.118516e-001  1.615863e+001  0.000000e+000  0.000000e+000  0.000000e+000 
          C6       KICKER  1.500000e-001  1.630863e+001  0.000000e+000  0.000000e+000  0.000000e+000 
      C6_Q11         DRIF  2.012830e-001  1.650992e+001  0.000000e+000  0.000000e+000  0.000000e+000 
         Q11         QUAD  1.500000e-001  1.665992e+001  -4.927381e+000  0.000000e+000  0.000000e+000 
     Q11_Q12         DRIF  7.670000e-001  1.742692e+001  0.000000e+000  0.000000e+000  0.000000e+000 
         Q12         QUAD  1.500000e-001  1.757692e+001  6.213876e+000  0.000000e+000  0.000000e+000 
      Q12_C7         DRIF  2.979030e-001  1.787482e+001  0.000000e+000  0.000000e+000  0.000000e+000 
          C7       KICKER  1.500000e-001  1.802482e+001  0.000000e+000  0.000000e+000  0.000000e+000 
      C7_Q13         DRIF  3.191970e-001  1.834402e+001  0.000000e+000  0.000000e+000  0.000000e+000 
         Q13         QUAD  1.500000e-001  1.849402e+001  0.000000e+000  0.000000e+000  0.000000e+000 
     Q13_FT2         DRIF  2.617092e-001  1.875572e+001  0.000000e+000  0.000000e+000  0.000000e+000 
         FT2         MARK  0.000000e+000  1.875572e+001  0.000000e+000  0.000000e+000  0.000000e+000 
     FT2_VF5         DRIF  1.247753e-001  1.888050e+001  0.000000e+000  0.000000e+000  0.000000e+000 
         VF5        WATCH  0.000000e+000  1.888050e+001  0.000000e+000  0.000000e+000  0.000000e+000 
     VF5_IT2         DRIF  1.445873e-001  1.902509e+001  0.000000e+000  0.000000e+000  0.000000e+000 
         IT2         MARK  0.000000e+000  1.902509e+001  0.000000e+000  0.000000e+000  0.000000e+000 
     IT2_Q14         DRIF  2.359287e-001  1.926102e+001  0.000000e+000  0.000000e+000  0.000000e+000 
