 index   name  length   s     betx   alfx   phixetax   etaxp  betz   alfz   phiz   etaz   etazp    x      xp     z      zp
   1    DEBUT   0.00   0.00  10.67   0.01   0.00 -50.14   1.34   7.79   0.05   0.00   0.00   0.00  -0.00   0.00   0.00   0.00
   2      INJ   0.00   0.00  10.67   0.01   0.00 -50.14   1.34   7.79   0.05   0.00   0.00   0.00  -0.00   0.00   0.00   0.00
   3    SECT1   0.00   0.00  10.67   0.01   0.00 -50.14   1.34   7.79   0.05   0.00   0.00   0.00  -0.00   0.00   0.00   0.00
   4      SD1   6.00   0.00  10.67   0.01   0.00 -50.14   1.34   7.79   0.05   0.00   0.00   0.00  -0.00   0.00   0.00   0.00
   5      BPM   0.00   6.00  13.98  -0.56   0.08 -42.09   1.34  11.82  -0.72   0.11   0.00   0.00  -0.00   0.00   0.00   0.00
   6     FCOR   0.00   6.00  13.98  -0.56   0.08 -42.09   1.34  11.82  -0.72   0.11   0.00   0.00  -0.00   0.00   0.00   0.00
   7       Q1   0.32   6.00  13.98  -0.56   0.08 -42.09   1.34  11.82  -0.72   0.11   0.00   0.00  -0.00   0.00   0.00   0.00
   8      SD2   0.39   6.32  16.14  -6.48   0.09 -44.24 -14.88  10.88   3.54   0.11   0.00   0.00  -0.00  -0.00   0.00   0.00
   9       S1   0.00   6.71  21.60  -7.51   0.09 -50.04 -14.88   8.31   3.06   0.12   0.00   0.00  -0.00  -0.00   0.00   0.00
  10      COR   0.00   6.71  21.60  -7.52   0.09 -50.04 -14.88   8.31   3.06   0.12   0.00   0.00  -0.00  -0.00   0.00   0.00
  11      SD3   0.20   6.71  21.60  -7.52   0.09 -50.04 -58.86   8.31   3.06   0.12   0.00   0.00  -0.00  -0.00   0.00   0.00
  12       Q2   0.46   6.91  24.71  -8.05   0.09 -61.81 -58.86   7.14   2.81   0.12   0.00   0.00  -0.00  -0.00   0.00   0.00
  13      BPM   0.00   7.37  23.03  11.25   0.09 -76.43  -2.74   7.09  -2.70   0.13   0.00   0.00  -0.00  -0.00   0.00   0.00
  14     SD14   0.59   7.37  23.03  11.25   0.09 -76.43  -2.74   7.09  -2.70   0.13   0.00   0.00  -0.00  -0.00   0.00   0.00
  15       Q3   0.32   7.96  11.69   7.98   0.10 -78.05  -2.74  10.68  -3.39   0.14   0.00   0.00  -0.00  -0.00   0.00   0.00
  16      SD5   0.20   8.28   7.79   4.51   0.10 -81.82 -20.98  12.09  -0.92   0.15   0.00   0.00  -0.00  -0.00   0.00   0.00
  17       S2   0.00   8.48   6.10   3.96   0.11 -86.01 -20.98  12.47  -0.95   0.15   0.00   0.00  -0.00  -0.00   0.00   0.00
  18      COR   0.00   8.48   6.10   3.96   0.11 -86.01 -20.95  12.47  -0.96   0.15   0.00   0.00  -0.00  -0.00   0.00   0.00
  19      SD6   0.79   8.48   6.10   3.96   0.11 -86.01 -20.95  12.47  -0.96   0.15   0.00   0.00  -0.00  -0.00   0.00   0.00
  20     BEND   1.05   9.27   1.54   1.80   0.15 -102.57 -20.95  14.09  -1.08   0.16   0.00   0.00  -0.00  -0.00   0.00   0.00
  21      SD7   0.44  10.32   0.78  -1.07   0.45 -124.37 -20.75  15.96  -0.66   0.17   0.00   0.00  -0.00  -0.00   0.00   0.00
  22       Q4   0.32  10.76   2.25  -2.27   0.50 -133.50 -20.75  16.55  -0.70   0.18   0.00   0.00  -0.00  -0.00   0.00   0.00
  23      SD8   0.20  11.08   4.48  -5.02   0.52 -149.94 -83.24  14.71   6.17   0.18   0.00   0.00  -0.00  -0.00   0.00   0.00
  24       S3   0.00  11.28   6.72  -6.19   0.53 -166.59 -83.24  12.35   5.64   0.18   0.00   0.00  -0.00  -0.00   0.00   0.00
  25      COR   0.00  11.28   6.72  -6.19   0.53 -166.59 -83.18  12.35   5.63   0.18   0.00   0.00  -0.00  -0.00   0.00   0.00
  26      BPM   0.00  11.28   6.72  -6.19   0.53 -166.59 -83.18  12.35   5.63   0.18   0.00   0.00  -0.00  -0.00   0.00   0.00
  27      SD9   0.48  11.28   6.72  -6.19   0.53 -166.59 -83.18  12.35   5.63   0.18   0.00   0.00  -0.00  -0.00   0.00   0.00
  28       Q5   0.32  11.76  13.94  -8.97   0.53 -206.21 -83.18   7.59   4.37   0.19   0.00   0.00  -0.00  -0.00   0.00   0.00
  29     SD12   0.47  12.08  17.00   0.04   0.54 -212.33  45.55   6.28   0.00   0.20   0.00   0.00  -0.00   0.00   0.00   0.00
  30       S4   0.00  12.55  16.98   0.01   0.54 -190.92  45.55   6.31  -0.07   0.21   0.00   0.00  -0.00   0.00   0.00   0.00
  31      COR   0.00  12.55  16.98  -0.01   0.54 -190.92  45.42   6.31  -0.06   0.21   0.00   0.00  -0.00   0.00   0.00   0.00
  32      BPM   0.00  12.55  16.98  -0.01   0.54 -190.92 208.39   6.31  -0.06   0.21   0.00   0.00  -0.00   0.00   0.00   0.00
  33     SD10   0.47  12.55  16.98  -0.01   0.54 -190.92 208.39   6.31  -0.06   0.21   0.00   0.00  -0.00   0.00   0.00   0.00
  34       Q5   0.32  13.02  17.00  -0.04   0.55 -92.98 208.39   6.41  -0.14   0.22   0.00   0.00  -0.00   0.00   0.00   0.00
  35      SD9   0.48  13.34  13.94   8.97   0.55 -19.57 243.01   7.85  -4.65   0.23   0.00   0.00  -0.00   0.00   0.00   0.00
  36      BPM   0.00  13.82   6.72   6.19   0.56  96.19 243.01  12.93  -6.03   0.24   0.00   0.00   0.00   0.00   0.00   0.00
  37       S3   0.00  13.82   6.72   6.19   0.56  96.19 243.01  12.93  -6.03   0.24   0.00   0.00   0.00   0.00   0.00   0.00
  38      COR   0.00  13.82   6.72   6.18   0.56  96.19 243.03  12.93  -6.02   0.24   0.00   0.00   0.00   0.00   0.00   0.00
  39      SD8   0.20  13.82   6.72   6.18   0.56  96.19 243.03  12.93  -6.02   0.24   0.00   0.00   0.00   0.00   0.00   0.00
  40       Q4   0.32  14.02   4.48   5.02   0.56  144.79 243.03  15.46  -6.60   0.24   0.00   0.00   0.00   0.00   0.00   0.00
  41      SD7   0.44  14.34   2.26   2.27   0.58  234.88 326.73  17.47   0.62   0.24   0.00   0.00   0.00   0.00   0.00   0.00
  42     BEND   1.05  14.78   0.79   1.07   0.63  378.65 326.73  16.94   0.59   0.25   0.00   0.00   0.00   0.00   0.00   0.00
  43      SD7   0.44  15.83   1.53  -1.79   0.93  720.41 326.93  15.16   1.06   0.26   0.00   0.00   0.00   0.00   0.00   0.00
  44       Q6   0.32  16.27   3.63  -2.99   0.96  864.25 326.93  14.26   1.00   0.26   0.00   0.00   0.00   0.00   0.00   0.00
  45      SD5   0.20  16.59   6.42  -6.04   0.97  1020.84 661.04  12.10   5.46   0.26   0.00   0.00   0.00   0.00   0.00   0.00
  46       S5   0.00  16.79   9.07  -7.21   0.98  1153.05 661.04  10.02   4.95   0.27   0.00   0.00   0.00   0.00   0.00   0.00
  47      COR   0.00  16.79   9.07  -7.29   0.98  1153.05 665.96  10.02   5.04   0.27   0.00   0.00   0.00   0.00   0.00   0.00
  48      SD4   0.39  16.79   9.07  -7.29   0.98  1153.05 665.96  10.02   5.04   0.27   0.00   0.00   0.00   0.00   0.00   0.00
  49      BPM   0.00  17.18  15.66  -9.61   0.98  1412.77 665.96   6.49   4.01   0.27   0.00   0.00   0.00   0.00   0.00   0.00
  50       Q7   0.46  17.18  15.66  -9.61   0.98  1412.77 665.96   6.49   4.01   0.27   0.00   0.00   0.00   0.00   0.00   0.00
  51      SD3   0.20  17.64  16.80   7.54   0.99  1377.09 -815.00   5.74  -2.12   0.29   0.00   0.00   0.00  -0.00   0.00   0.00
  52       S6   0.00  17.84  13.92   6.85   0.99  1214.09 -815.00   6.63  -2.32   0.29   0.00   0.00   0.00  -0.00   0.00   0.00
  53      COR   0.00  17.84  13.92   6.96   0.99  1214.09 -819.79   6.63  -2.37   0.29   0.00   0.00   0.00  -0.00   0.00   0.00
  54      SD2   0.39  17.84  13.92   6.96   0.99  1214.09 -520.70   6.63  -2.37   0.29   0.00   0.00   0.00  -0.00   0.00   0.00
  55       Q8   0.32  18.23   9.03   5.58   0.99  1011.01 -520.70   8.63  -2.76   0.30   0.00   0.00   0.00  -0.00   0.00   0.00
  56     FCOR   0.00  18.55   7.08   0.85   1.00  928.89   0.04   8.87   2.04   0.31   0.00   0.00   0.00   0.00   0.00   0.00
  57      BPM   0.00  18.55   7.08   0.85   1.00  928.89   0.04   8.87   2.04   0.31   0.00   0.00   0.00   0.00   0.00   0.00
  58     SD13   3.48  18.55   7.08   0.85   1.00  928.89   0.04   8.87   2.04   0.31   0.00   0.00   0.00   0.00   0.00   0.00
  59     SD13   3.48  22.03   4.11   0.00   1.11  929.05   0.04   1.72   0.01   0.48   0.00   0.00   0.00   0.00   0.00   0.00
  60      BPM   0.00  25.51   7.04  -0.84   1.22  929.20   0.04   8.67  -2.01   0.66   0.00   0.00   0.00   0.00   0.00   0.00
  61     FCOR   0.00  25.51   7.04  -0.84   1.22  929.20   0.04   8.67  -2.01   0.66   0.00   0.00   0.00   0.00   0.00   0.00
  62       Q8   0.32  25.51   7.04  -0.84   1.22  929.20   0.04   8.67  -2.01   0.66   0.00   0.00   0.00   0.00   0.00   0.00
