             LOGTIME, 10S11_TOTAL_GV, DCCT, RF_FREQ, WG_10S11_PRES, WG_10S11, 10S11_BM_VLTG, WG_AMB
13-NOV-2001 00:10:00, 4.234673E-02, 6.920800E+01, 3.300100E+04, 3.996506E+00, 1.125460E+01, -3.564665E-01, 1.339486E+01
13-NOV-2001 00:10:02, 4.233220E-02, 6.920700E+01, 3.300100E+04, 4.005890E+00, 1.122143E+01, -3.640591E-01, 1.339302E+01
13-NOV-2001 00:10:05, 4.241576E-02, 6.921000E+01, 3.300100E+04, 3.996162E+00, 1.122143E+01, -3.716515E-01, 1.339767E+01
13-NOV-2001 00:10:07, 4.237580E-02, 6.920400E+01, 3.300200E+04, 3.996849E+00, 1.123802E+01, -3.753902E-01, 1.337835E+01
13-NOV-2001 00:10:10, 4.224137E-02, 6.921400E+01, 3.300100E+04, 4.011841E+00, 1.125460E+01, -3.640591E-01, 1.337651E+01
13-NOV-2001 00:10:12, 4.229587E-02, 6.921200E+01, 3.300100E+04, 4.010239E+00, 1.121887E+01, -3.514049E-01, 1.341100E+01
13-NOV-2001 00:10:15, 4.237216E-02, 6.920400E+01, 3.300200E+04, 3.998108E+00, 1.122143E+01, -3.602628E-01, 1.336184E+01
13-NOV-2001 00:10:17, 4.244664E-02, 6.920700E+01, 3.300200E+04, 3.983002E+00, 1.122143E+01, -3.716515E-01, 1.334349E+01
13-NOV-2001 00:10:20, 4.238669E-02, 6.919600E+01, 3.300200E+04, 3.986435E+00, 1.125204E+01, -3.779210E-01, 1.337835E+01
13-NOV-2001 00:10:22, 4.221594E-02, 6.919600E+01, 3.300200E+04, 4.014702E+00, 1.125460E+01, -3.653244E-01, 1.336000E+01
13-NOV-2001 00:10:25, 4.228134E-02, 6.919500E+01, 3.300200E+04, 4.009094E+00, 1.125460E+01, -3.753902E-01, 1.336184E+01
13-NOV-2001 00:10:27, 4.240122E-02, 6.919200E+01, 3.300100E+04, 3.995934E+00, 1.123802E+01, -3.766555E-01, 1.336184E+01
13-NOV-2001 00:10:30, 4.243211E-02, 6.918800E+01, 3.300100E+04, 3.985863E+00, 1.122143E+01, -3.842479E-01, 1.336184E+01
13-NOV-2001 00:10:32, 4.234128E-02, 6.918800E+01, 3.300100E+04, 3.996162E+00, 1.123802E+01, -3.880442E-01, 1.332697E+01
