* PUNAME           X              Y              STATUS  
$ %16s             %f             %f             %hd     
@ COMMENT          %04s " "
@ ORIGIN           %24s "MAD 8.2/13  VAX - VMS"
@ DATE             %08s "01/08/00"
@ TIME             %08s "10.41.54"
  BPM                -1.34061       0.000000E+00        0
  BPM               -0.455687       0.000000E+00        0
  BPM               -0.753072E-01   0.000000E+00        0
  BPM                0.445728       0.000000E+00        0
  BPM                 1.61174       0.000000E+00        0
  BPM                 1.41461       0.000000E+00        0
  BPM               -0.248019       0.000000E+00        0
  BPM                -1.12212       0.000000E+00        0
  BPM               -0.480757       0.000000E+00        0
  BPM                0.499966       0.000000E+00        0
  BPM                0.916924       0.000000E+00        0
  BPM                0.365455       0.000000E+00        0
  BPM                0.292379       0.000000E+00        0
  BPM               -0.207585       0.000000E+00        0
  BPM                -1.34087       0.000000E+00        0
  BPM                -1.04089       0.000000E+00        0
  BPM                0.401284       0.000000E+00        0
  BPM                 1.25043       0.000000E+00        0
  BPM                0.382586       0.000000E+00        0
  BPM                -1.11469       0.000000E+00        0
  BPM                -1.39127       0.000000E+00        0
  BPM               -0.178793       0.000000E+00        0
  BPM                0.284999       0.000000E+00        0
  BPM                0.385850       0.000000E+00        0
  BPM                0.833750       0.000000E+00        0
  BPM                0.403886       0.000000E+00        0
  BPM               -0.486558       0.000000E+00        0
  BPM                -1.12461       0.000000E+00        0
  BPM               -0.219671       0.000000E+00        0
  BPM                 1.45280       0.000000E+00        0
  BPM                 1.54887       0.000000E+00        0
  BPM               -0.247128E-01   0.000000E+00        0
  BPM               -0.750852       0.000000E+00        0
  BPM               -0.475645       0.000000E+00        0
  BPM               -0.224437       0.000000E+00        0
  BPM                0.243527       0.000000E+00        0
  BPM                0.474113       0.000000E+00        0
  BPM                0.808954       0.000000E+00        0
  BPM                0.138057E-01   0.000000E+00        0
  BPM                -1.57183       0.000000E+00        0
  BPM                -1.40268       0.000000E+00        0
  BPM               -0.150313       0.000000E+00        0
  BPM                0.569864       0.000000E+00        0
  BPM                0.371385       0.000000E+00        0
  BPM                0.137867       0.000000E+00        0
  BPM                -1.27679       0.000000E+00        0
  BPM               -0.422463       0.000000E+00        0
  BPM                0.508765       0.000000E+00        0
  BPM                0.655506       0.000000E+00        0
  BPM                 1.39316       0.000000E+00        0
  BPM                0.835368       0.000000E+00        0
  BPM               -0.443892       0.000000E+00        0
  BPM                -1.23796       0.000000E+00        0
  BPM               -0.343579       0.000000E+00        0
  BPM                 1.22953       0.000000E+00        0
  BPM                 1.46023       0.000000E+00        0
  BPM                0.124610       0.000000E+00        0
  BPM               -0.421322       0.000000E+00        0
  BPM               -0.418440       0.000000E+00        0
  BPM               -0.676616       0.000000E+00        0
  BPM               -0.228011       0.000000E+00        0
  BPM                0.492049       0.000000E+00        0
  BPM                 1.05779       0.000000E+00        0
  BPM                0.157186       0.000000E+00        0
  BPM                -1.54926       0.000000E+00        0
  BPM                -1.57883       0.000000E+00        0
  BPM                0.971586E-01   0.000000E+00        0
  BPM                0.904573       0.000000E+00        0
  BPM                0.490592       0.000000E+00        0
  BPM               -0.267646E-01   0.000000E+00        0
  BPM               -0.489502       0.000000E+00        0
  BPM               -0.448571       0.000000E+00        0
  BPM               -0.645869       0.000000E+00        0
  BPM                0.616704E-01   0.000000E+00        0
  BPM                 1.51770       0.000000E+00        0
  BPM                 1.34220       0.000000E+00        0
  BPM               -0.294502       0.000000E+00        0
  BPM                -1.17916       0.000000E+00        0
  BPM               -0.468247       0.000000E+00        0
  BPM                0.659455       0.000000E+00        0
  BPM                 1.05226       0.000000E+00        0
  BPM                0.328939       0.000000E+00        0
  BPM                0.160092       0.000000E+00        0
  BPM               -0.255195       0.000000E+00        0
  BPM                -1.24869       0.000000E+00        0
  BPM               -0.719343       0.000000E+00        0
  BPM                0.231649       0.000000E+00        0
  BPM                0.946959       0.000000E+00        0
  BPM                0.155929       0.000000E+00        0
  BPM               -0.627707       0.000000E+00        0
