* PUNAME           X              Y              STATUS  
$ %16s             %f             %f             %hd     
@ COMMENT          %04s " "
@ ORIGIN           %24s "MAD 8.2/13  VAX - VMS"
@ DATE             %08s "01/08/00"
@ TIME             %08s "10.41.54"
  BPM               -0.461339E-01    2.63635            0
  BPM                0.212546E-02    1.84969            0
  BPM                0.436106E-01    1.37552            0
  BPM                0.232714E-01    3.20627            0
  BPM               -0.275892E-01    2.00510            0
  BPM               -0.679558E-01   0.405331            0
  BPM               -0.216721E-01  -0.786848E-01        0
  BPM               -0.111691E-01  -0.392931            0
  BPM                0.163609E-01   -1.54185            0
  BPM                0.633229E-01   -1.35399            0
  BPM                0.431556E-01   -1.88846            0
  BPM               -0.243363E-01   -2.95313            0
  BPM               -0.990798E-01   -1.68629            0
  BPM               -0.322031E-01   -2.43733            0
  BPM                0.338765E-01   -1.26827            0
  BPM                0.619631E-01  -0.185304            0
  BPM                0.245884E-01   0.422260            0
  BPM                0.187093E-01   0.588688            0
  BPM               -0.139666E-01    1.82412            0
  BPM               -0.114451        1.50081            0
  BPM               -0.921274E-01    1.90966            0
  BPM                0.315294E-01    2.90369            0
  BPM                0.717406E-01    1.61604            0
  BPM                0.192667E-01    2.22183            0
  BPM               -0.113153        1.09031            0
  BPM               -0.122552      -0.424467E-01        0
  BPM                0.325661E-04  -0.769208            0
  BPM                0.531974E-01  -0.782283            0
  BPM                0.368309E-01   -2.09199            0
  BPM               -0.715144E-02   -1.63231            0
  BPM               -0.411741E-01   -1.90474            0
  BPM               -0.320906E-01   -2.81135            0
  BPM               -0.725284E-01   -1.52373            0
  BPM               -0.766815E-02   -1.97477            0
  BPM                0.862358E-01  -0.898043            0
  BPM                0.869379E-01   0.265709            0
  BPM               -0.634219E-02    1.09816            0
  BPM               -0.566129E-01   0.960340            0
  BPM               -0.282745E-01    2.32084            0
  BPM               -0.320446E-01    1.73662            0
  BPM                0.143524E-01    1.95289            0
  BPM                0.354516E-01    2.56047            0
  BPM                0.512598E-01   0.582165            0
  BPM               -0.123810E-01  -0.428930E-01        0
  BPM               -0.725273E-01   -1.23660            0
  BPM               -0.371140E-01   -2.61621            0
  BPM                0.766110E-02   -2.34330            0
  BPM                0.407187E-01   -1.23231            0
  BPM                0.142130E-01   -1.87234            0
  BPM               -0.289695E-01  -0.878694            0
  BPM               -0.571755E-01   0.937403            0
  BPM               -0.142577E-01    2.02671            0
  BPM               -0.175432E-01    1.43092            0
  BPM                0.966570E-02    2.83524            0
  BPM                0.636109E-02    1.90909            0
  BPM               -0.284063E-02    1.60818            0
  BPM               -0.915215E-02    2.04070            0
  BPM               -0.313261E-01   0.933415            0
  BPM               -0.961321E-02   0.701484            0
  BPM                0.239986E-01  -0.242694E-02        0
  BPM                0.312387E-01   -1.12638            0
  BPM                0.525173E-02   -2.26633            0
  BPM               -0.236983E-01   -1.54012            0
  BPM               -0.150282E-01   -2.91568            0
  BPM               -0.748798E-01   -1.90768            0
  BPM               -0.544233E-01   -1.47535            0
  BPM                0.262928E-01   -1.77412            0
  BPM                0.645083E-01  -0.751872            0
  BPM                0.143683E-01  -0.357741            0
  BPM               -0.778276E-01   0.227410            0
  BPM               -0.854528E-01    1.30057            0
  BPM               -0.886984E-03    2.47594            0
  BPM                0.137002E-01    1.62906            0
  BPM                0.173190E-01    2.95918            0
  BPM               -0.342490E-01    1.88110            0
  BPM               -0.475848E-01    1.32067            0
  BPM               -0.998821E-02    1.47936            0
  BPM               -0.536133E-02   0.558376            0
  BPM                0.718223E-02   0.679512E-02        0
  BPM                0.371119E-01  -0.450339            0
  BPM                0.274540E-01   -1.45668            0
  BPM               -0.121608E-01   -2.65048            0
  BPM               -0.626345E-01   -1.69511            0
  BPM               -0.205833E-01   -2.95895            0
  BPM               -0.192127E-01   -1.82786            0
  BPM                0.142878E-01  -0.766446            0
  BPM                0.261374E-01  -0.524537            0
  BPM                0.458796E-01   0.418461            0
  BPM               -0.679599E-02    1.59193            0
  BPM               -0.622524E-01    2.60061            0
