* PUNAME           X              Y              STATUS  
$ %16s             %f             %f             %hd     
@ COMMENT          %04s " "
@ ORIGIN           %24s "MAD 8.2/13  VAX - VMS"
@ DATE             %08s "01/08/00"
@ TIME             %08s "11.46.34"
  BPM                -3.46578       0.000000E+00        0
  BPM                -1.53876       0.000000E+00        0
  BPM                0.633237       0.000000E+00        0
  BPM                 1.87720       0.000000E+00        0
  BPM                 5.29837       0.000000E+00        0
  BPM                 4.05940       0.000000E+00        0
  BPM                0.775843       0.000000E+00        0
  BPM               -0.290902       0.000000E+00        0
  BPM                -1.04669       0.000000E+00        0
  BPM                -3.21563       0.000000E+00        0
  BPM                -1.97635       0.000000E+00        0
  BPM                 1.46881       0.000000E+00        0
  BPM                 3.75261       0.000000E+00        0
  BPM                0.809505       0.000000E+00        0
  BPM                -4.59002       0.000000E+00        0
  BPM                -5.00381       0.000000E+00        0
  BPM               -0.304923E-01   0.000000E+00        0
  BPM                 2.21007       0.000000E+00        0
  BPM                 1.47674       0.000000E+00        0
  BPM                0.956880       0.000000E+00        0
  BPM               -0.515942       0.000000E+00        0
  BPM                -1.51241       0.000000E+00        0
  BPM                -2.68456       0.000000E+00        0
  BPM               -0.157609       0.000000E+00        0
  BPM                 4.79385       0.000000E+00        0
  BPM                 4.57286       0.000000E+00        0
  BPM               -0.606020       0.000000E+00        0
  BPM                -3.24799       0.000000E+00        0
  BPM                -1.55216       0.000000E+00        0
  BPM                0.869970       0.000000E+00        0
  BPM                 2.27361       0.000000E+00        0
  BPM                 1.29640       0.000000E+00        0
  BPM                 1.48686       0.000000E+00        0
  BPM               -0.445099       0.000000E+00        0
  BPM                -4.60170       0.000000E+00        0
  BPM                -3.82596       0.000000E+00        0
  BPM                 1.12963       0.000000E+00        0
  BPM                 3.93026       0.000000E+00        0
  BPM                 1.29106       0.000000E+00        0
  BPM                -3.18574       0.000000E+00        0
  BPM                -4.71721       0.000000E+00        0
  BPM                -1.97071       0.000000E+00        0
  BPM                -1.18285       0.000000E+00        0
  BPM                 1.40083       0.000000E+00        0
  BPM                 3.74816       0.000000E+00        0
  BPM                -1.03098       0.000000E+00        0
  BPM                -1.28000       0.000000E+00        0
  BPM                -1.38498       0.000000E+00        0
  BPM                0.752222       0.000000E+00        0
  BPM                 4.70338       0.000000E+00        0
  BPM                 4.91412       0.000000E+00        0
  BPM               -0.258656       0.000000E+00        0
  BPM                -2.73187       0.000000E+00        0
  BPM                -1.57473       0.000000E+00        0
  BPM               -0.241449       0.000000E+00        0
  BPM                 1.26928       0.000000E+00        0
  BPM                 1.49130       0.000000E+00        0
  BPM                 2.32313       0.000000E+00        0
  BPM               -0.119011       0.000000E+00        0
  BPM                -5.09772       0.000000E+00        0
  BPM                -4.59286       0.000000E+00        0
  BPM                0.905870       0.000000E+00        0
  BPM                 3.84222       0.000000E+00        0
  BPM                 1.48110       0.000000E+00        0
  BPM                -2.31176       0.000000E+00        0
  BPM                -3.53688       0.000000E+00        0
  BPM                -1.00569       0.000000E+00        0
  BPM               -0.339535       0.000000E+00        0
  BPM                0.881087       0.000000E+00        0
  BPM                 3.89096       0.000000E+00        0
  BPM                 2.75574       0.000000E+00        0
  BPM                -1.42253       0.000000E+00        0
  BPM                -3.99602       0.000000E+00        0
  BPM                -1.17747       0.000000E+00        0
  BPM                 3.71363       0.000000E+00        0
  BPM                 4.54258       0.000000E+00        0
  BPM                0.504596       0.000000E+00        0
  BPM                -1.08424       0.000000E+00        0
  BPM                -1.28312       0.000000E+00        0
  BPM                -2.48200       0.000000E+00        0
  BPM                -1.07510       0.000000E+00        0
  BPM                 1.57251       0.000000E+00        0
  BPM                 3.54602       0.000000E+00        0
  BPM                0.566943       0.000000E+00        0
  BPM                -5.05986       0.000000E+00        0
  BPM                -5.29153       0.000000E+00        0
  BPM                -1.17406       0.000000E+00        0
  BPM                0.865125       0.000000E+00        0
  BPM                 1.46736       0.000000E+00        0
  BPM                 1.89098       0.000000E+00        0
