* PUNAME           X              Y              STATUS  
$ %16s             %f             %f             %hd     
@ COMMENT          %04s " "
@ ORIGIN           %24s "MAD 8.2/13  VAX - VMS"
@ DATE             %08s "01/08/00"
@ TIME             %08s "10.41.54"
  BPM               -0.628185E-01   0.694275            0
  BPM                0.426106E-03  -0.766572            0
  BPM                0.643010E-01   -1.19174            0
  BPM                0.317627E-01   -3.99650            0
  BPM               -0.522859E-01   -2.85528            0
  BPM               -0.111076       -1.93556            0
  BPM               -0.301666E-01   -3.39880            0
  BPM               -0.519160E-01   -2.20387            0
  BPM                0.117850E-01   -3.92263            0
  BPM                0.241900E-01   -2.45716            0
  BPM                0.118975E-01   -1.63386            0
  BPM               -0.136166E-01   -1.74869            0
  BPM               -0.422803E-01  -0.604587            0
  BPM               -0.139856E-01   0.227560            0
  BPM                0.339002E-01   0.743075            0
  BPM                0.445764E-01    2.02283            0
  BPM                0.815873E-02    3.60679            0
  BPM               -0.535936E-01    2.27502            0
  BPM               -0.308016E-01    3.89200            0
  BPM               -0.125525        2.36709            0
  BPM               -0.859830E-01    1.39346            0
  BPM                0.489585E-01    1.32113            0
  BPM                0.128078       0.334449            0
  BPM                0.299982E-01  -0.690470            0
  BPM               -0.150770       -1.02451            0
  BPM               -0.167468       -2.18820            0
  BPM               -0.338795E-02   -3.76318            0
  BPM                0.161617E-01   -2.31430            0
  BPM                0.285860E-01   -3.81122            0
  BPM               -0.443883E-01   -2.24483            0
  BPM               -0.674396E-01   -1.12976            0
  BPM               -0.187043E-01  -0.866877            0
  BPM               -0.792665E-02  -0.554626E-01        0
  BPM                0.139408E-01    1.14922            0
  BPM                0.566806E-01    1.29478            0
  BPM                0.392849E-01    2.32445            0
  BPM               -0.208632E-01    3.86809            0
  BPM               -0.114265        2.32240            0
  BPM               -0.391838E-01    3.67385            0
  BPM               -0.214144E-01    2.09149            0
  BPM                0.401374E-01   0.157398            0
  BPM                0.505963E-01  -0.611435            0
  BPM                0.813132E-01   -1.05452            0
  BPM               -0.132249E-01   -2.68541            0
  BPM               -0.118545       -3.70164            0
  BPM               -0.865830E-01   -2.95197            0
  BPM                0.454834E-02   -1.43540            0
  BPM                0.940054E-01  -0.683740E-01        0
  BPM                0.333829E-01    1.79858            0
  BPM               -0.479826E-01    1.69697            0
  BPM               -0.108663        2.52644            0
  BPM               -0.312282E-01    3.83447            0
  BPM               -0.654757E-01    2.13257            0
  BPM                0.160522E-02    2.92391            0
  BPM                0.686440E-01    1.43051            0
  BPM                0.620608E-01  -0.697034E-01        0
  BPM               -0.120303E-01   -1.03744            0
  BPM               -0.559607E-01   -1.04575            0
  BPM               -0.213553E-01   -2.78025            0
  BPM               -0.265741E-01   -2.16595            0
  BPM               -0.372623E-02   -2.52054            0
  BPM                0.252395E-01   -3.71654            0
  BPM               -0.184756E-03   -2.01049            0
  BPM               -0.186387E-01   -2.59573            0
  BPM               -0.121314       -1.17432            0
  BPM               -0.941588E-01   0.368973            0
  BPM                0.363073E-01    1.47931            0
  BPM                0.104228        1.28451            0
  BPM                0.337415E-01    3.09043            0
  BPM               -0.161721        2.30552            0
  BPM               -0.180577        2.47392            0
  BPM               -0.442125E-02    3.53510            0
  BPM                0.276899E-01    1.85458            0
  BPM                0.307168E-01    2.22485            0
  BPM                0.167015E-01   0.897840            0
  BPM               -0.136172E-01  -0.665165            0
  BPM               -0.308658E-01   -1.90229            0
  BPM               -0.679266E-01   -1.50738            0
  BPM               -0.505388E-02   -3.35736            0
  BPM                0.283049E-01   -2.41444            0
  BPM                0.316224E-01   -2.39810            0
  BPM                0.166877E-02   -3.31420            0
  BPM               -0.510372E-01   -1.67878            0
  BPM               -0.301887E-01   -1.82969            0
  BPM               -0.342388E-01  -0.613588            0
  BPM                0.147159E-01    1.83153            0
  BPM                0.372999E-01    3.34100            0
  BPM                0.447315E-01    1.81146            0
  BPM               -0.640850E-02    3.04069            0
  BPM               -0.754817E-01    2.97760            0
