Element-Name    E_S(Meter)       Beta(X)       Beta(Y)      Alpha(X)      Alpha(Y)      Gamma(X)      Gamma(Y)      Phase(X)      Phase(Y) 
       START             0       10.7769       2.27836    -0.0076025     0.0821334     0.0927967      0.441874             0             0 
       R1D1A      0.643354       10.8251       2.35557    -0.0673037     -0.202148     0.0927967      0.441874    0.00948563     0.0447877 
   INJ_POINT      0.643354       10.8251       2.35557    -0.0673037     -0.202148     0.0927967      0.441874    0.00948563     0.0447877 
        SCN1      0.643354       10.8251       2.35557    -0.0673037     -0.202148     0.0927967      0.441874    0.00948563     0.0447877 
      R1D1AB         0.818       10.8514       2.43965    -0.0835102      -0.27932     0.0927967      0.441874     0.0120503     0.0563929 
       R1HC0         0.818       10.8514       2.43965    -0.0835102      -0.27932     0.0927967      0.441874     0.0120503     0.0563929 
      R1D1BC           1.1       10.9059       2.63233     -0.109679     -0.403928     0.0927967      0.441874     0.0161765     0.0741403 
     R1KICM3           1.1       10.9059       2.63233     -0.109679     -0.403928     0.0927967      0.441874     0.0161765     0.0741403 
      R1D1CD           1.4         10.98       2.91445     -0.137518      -0.53649     0.0927967      0.441874     0.0205403     0.0914124 
       R1VC0           1.4         10.98       2.91445     -0.137518      -0.53649     0.0927967      0.441874     0.0205403     0.0914124 
      R1D1DE         1.495        11.007       3.02038     -0.146334     -0.578468     0.0927967      0.441874     0.0219156     0.0965094 
      R1BPM0         1.495        11.007       3.02038     -0.146334     -0.578468     0.0927967      0.441874     0.0219156     0.0965094 
      R1D1EF        1.5425       11.0211       3.07633     -0.150741     -0.599457     0.0927967      0.441874      0.022602     0.0989896 
        SWLS        2.1425       11.2354       3.62144     -0.206417     -0.283908     0.0927967       0.29839     0.0311873      0.127189 
      R1D1FG          2.19       11.2552       3.64909     -0.210825     -0.298081     0.0927967       0.29839     0.0318596      0.129269 
      R1BPM1          2.19       11.2552       3.64909     -0.210825     -0.298081     0.0927967       0.29839     0.0318596      0.129269 
      R1D1GH         2.287        11.297       3.70972     -0.219826     -0.327025     0.0927967       0.29839     0.0332287      0.133465 
      R1VC0A         2.287        11.297       3.70972     -0.219826     -0.327025     0.0927967       0.29839     0.0332287      0.133465 
      R1D1HI         2.585       11.4362       3.93113     -0.247479     -0.415946     0.0927967       0.29839     0.0374018      0.145898 
     R1KICM4         2.585       11.4362       3.93113     -0.247479     -0.415946     0.0927967       0.29839     0.0374018      0.145898 
      R1D1IJ         2.857       11.5777       4.17948      -0.27272     -0.497108     0.0927967       0.29839     0.0411643      0.156586 
      R1HC0A         2.857       11.5777       4.17948      -0.27272     -0.497108     0.0927967       0.29839     0.0411643      0.156586 
      R1D1JK             3       11.6576       4.32775      -0.28599     -0.539778     0.0927967       0.29839     0.0431234      0.161938 
       R1QD1          3.35       14.2715       3.91736      -7.65222       1.63662       4.17311      0.939029     0.0475816      0.175054 
        RXD4           3.5        16.661        3.4475      -8.27818       1.49576       4.17311      0.939029     0.0491298      0.181553 
       R1HC1           3.5        16.661        3.4475      -8.27818       1.49576       4.17311      0.939029     0.0491298      0.181553 
        RXD5          3.65       19.2384        3.0199      -8.90415       1.35491       4.17311      0.939029     0.0504633      0.188954 
